Time,Price,Transactions-per-day,Cap,Bitcoins,Transactions-per-block,Transactions-total,Difficulty
2009-01-03 00:00:00,0,1,0,50,1,1,1
2009-01-05 00:00:00,0,0,0,50,1,1,0
2009-01-07 00:00:00,0,0,0,50,1,1,0
2009-01-09 00:00:00,0,14,0,750,1,15,1
2009-01-11 00:00:00,0,106,0,7600,1,152,1
2009-01-13 00:00:00,0,116,0,17800,1,363,1
2009-01-15 00:00:00,0,136,0,30450,1,625,1
2009-01-17 00:00:00,0,109,0,41650,1,851,1
2009-01-19 00:00:00,0,120,0,52650,1,1072,1
2009-01-21 00:00:00,0,115,0,64100,1,1305,1
2009-01-23 00:00:00,0,68,0,71200,1,1449,1
2009-01-25 00:00:00,0,195,0,90850,1,1845,1
2009-01-27 00:00:00,0,105,0,101800,1,2066,1
2009-01-29 00:00:00,0,122,0,113050,1,2291,1
2009-01-31 00:00:00,0,129,0,125550,1,2542,1
2009-02-02 00:00:00,0,127,0,137700,1,2787,1
2009-02-04 00:00:00,0,126,0,150650,1,3063,1
2009-02-06 00:00:00,0,129,0,163150,1,3313,1
2009-02-08 00:00:00,0,135,0,176150,1,3578,1
2009-02-10 00:00:00,0,127,0,188900,1,3834,1
2009-02-12 00:00:00,0,119,0,201350,1,4085,1
2009-02-14 00:00:00,0,141,0,214600,1,4350,1
2009-02-16 00:00:00,0,123,0,226850,1,4598,1
2009-02-18 00:00:00,0,124,0,238950,1,4841,1
2009-02-20 00:00:00,0,129,0,251200,1,5087,1
2009-02-22 00:00:00,0,125,0,262750,1,5322,1
2009-02-24 00:00:00,0,111,0,273650,1,5540,1
2009-02-26 00:00:00,0,96,0,283800,1,5743,1
2009-02-28 00:00:00,0,103,0,295050,1,5969,1
2009-03-02 00:00:00,0,104,0,305550,1,6180,1
2009-03-04 00:00:00,0,106,0,316150,1,6394,1
2009-03-06 00:00:00,0,119,0,327350,1,6621,1
2009-03-08 00:00:00,0,115,0,338500,1,6847,1
2009-03-10 00:00:00,0,105,0,349400,1,7065,1
2009-03-12 00:00:00,0,119,0,360700,1,7292,1
2009-03-14 00:00:00,0,116,0,372200,1,7523,1
2009-03-16 00:00:00,0,131,0,384250,1,7765,1
